T,P,MSE,SD,loss,SD_l,P_1,MSE_1,SD_1,loss_1,SD_l1,P_2,MSE_2,SD_2,SD_l2,SD_l2
1.00E+03,0,1.3909,-0.4176,2.144,-0.4538,0,3.8057,-2.8515,0,0,,,,,
2.00E+03,0.0333,1.0523,-0.3424,2.1095,-0.3364,0,3.3816,-1.7253,0.7295,-0.3616,,,,,
3.00E+03,0.0333,0.9687,-0.2943,2.1321,-0.3509,0,2.9085,-1.8871,1.0076,-0.3591,,,,,
4.00E+03,0.1,0.799,-0.2025,2.1244,-0.202,0,2.1781,-0.9033,1.0122,-0.5094,,,,,
5.00E+03,0.0333,0.8578,-0.256,2.1657,-0.2425,0.0333,1.6554,-0.8839,1.1649,-0.4166,,,,,
6.00E+03,0,0.7532,-0.1442,2.1738,-0.2356,0,1.6262,-0.7019,1.1593,-0.3508,,,,,
7.00E+03,0.2333,0.6669,-0.2014,2.1885,-0.224,0,1.7035,-0.9506,1.261,-0.3583,,,,,
8.00E+03,0.2333,0.7263,-0.2318,2.1682,-0.2165,0,1.8879,-0.9964,1.2735,-0.3717,,,,,
9.00E+03,0.2,0.7572,-0.3316,2.1046,-0.1677,0,1.6069,-0.6108,1.306,-0.3385,,,,,
1.00E+04,0.1,0.7166,-0.2169,2.1663,-0.2488,0,1.3474,-0.5302,1.3712,-0.3072,,,,,
2.00E+04,0.3667,0.5644,-0.2087,2.0463,-0.2035,0,1.3277,-0.5125,1.5384,-0.351,,,,,
3.00E+04,0.3667,0.6246,-0.243,2.0323,-0.1448,0,1.1344,-0.4054,1.5697,-0.3607,0,3.437,-2.3779,0.6668,-0.2887
4.00E+04,0.3333,0.5964,-0.2091,2.0385,-0.1741,0.0333,1.1441,-0.4707,1.6159,-0.3315,0,3.026,-1.7744,0.7714,-0.3862
5.00E+04,0.4,0.5497,-0.179,1.9426,-0.151,0,1.0696,-0.374,1.5917,-0.3518,0,2.6838,-1.3948,0.7549,-0.3954
6.00E+04,0.4333,0.5293,-0.1941,1.9715,-0.1269,0.0667,1.1633,-0.3843,1.6038,-0.2503,0,2.3584,-1.2008,0.9617,-0.506
7.00E+04,0.3,0.5821,-0.1586,1.976,-0.1346,0.0333,1.0806,-0.4055,1.7412,-0.3011,0,2.4185,-1.2922,0.9093,-0.3535
8.00E+04,0.3667,0.5734,-0.2268,1.9525,-0.1138,0.1,0.9948,-0.3813,1.6464,-0.2738,0,2.4193,-1.9189,0.9007,-0.2797
9.00E+04,0.4333,0.5796,-0.2162,1.9248,-0.0994,0.1333,0.925,-0.4187,1.6515,-0.2922,0.0333,2.1522,-1.0147,0.9018,-0.339
1.00E+05,0.6,0.4785,-0.1723,1.9268,-0.1133,0.0333,0.8587,-0.2631,1.6827,-0.3555,0,2.2064,-1.1396,0.9949,-0.3592
2.00E+05,0.6667,0.4747,-0.1523,1.8817,-0.0743,0.1333,0.8607,-0.3504,1.6791,-0.2999,0,1.8446,-0.6596,1.1502,-0.3085
